id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
17861379,Villa Yolanda - Seaside Villa Rental on Menorca Island,95903847,Posarelli Villas,,Alaior,39.86824,4.13641,Entire home/apt,96,1,5,2019-11-02,0.14,15,107
17874138,"VILLA NEXT BINIBECA,JUST FEW STEPS  ACCESS TO SEA",43321679,Marga,,Sant Lluís,39.8251,4.22428,Entire home/apt,300,7,8,2019-09-28,0.21,9,300
17887987,Bonito apartamento cerca del centro de Mahón,121712822,Victor Christian,,Mahón,39.88628,4.26886,Entire home/apt,70,5,16,2019-09-17,0.43,1,0
17891639,★Whirlpool & Pooltable ★ entire House ★ free WiFi★,105711740,3Villas Menorca,,Sant Lluís,39.8494,4.25669,Entire home/apt,450,7,24,2019-09-05,0.65,97,352
17899681,Apartamento dúplex con jardín y terraza,46834809,Jacobo,,Ciutadella de Menorca,39.99965,3.80462,Entire home/apt,41,4,28,2019-09-28,0.81,1,154
17903972,Preciosa casa menorquina al borde del mar,52491329,Luisa,,Mahón,39.91198,4.28755,Entire home/apt,150,6,9,2019-08-26,0.25,1,335
17913291,"Apartamento son bou, 5 minutos de",122794169,Rosa Maria,,Alaior,39.9027,4.07522,Entire home/apt,90,2,20,2019-09-11,0.56,1,278
17930008,VILLA ALTO NIVEL 80 METROS PLAYA BINISAFUA,122955712,Javier,,Sant Lluís,39.83019,4.21387,Entire home/apt,225,1,1,2019-10-27,0.16,1,313
17933619,Apartamento frente a la playa de Son Parc,116364096,Patricia,,Es Mercadal,40.0331,4.16493,Entire home/apt,107,5,10,2019-10-06,0.27,1,272
17933700,Mini apartment next to sandy beach,193043,Manuela,,Es Mercadal,40.01384,4.19844,Entire home/apt,85,3,12,2019-08-26,0.34,4,160
17939917,Typical Menorcan Village House,123061084,Laura,,Alaior,39.93428,4.14158,Entire home/apt,60,4,23,2019-09-19,0.65,1,158
17942359,V130 | Villa Primavera,123087479,Menorcarentals Villa S.L.,,Alaior,39.90727,4.07479,Entire home/apt,203,3,0,,,17,153
17949111,CASITA CON PISCINA Y JARDIN LAS GOLONDRINAS,12290067,David,,Ciutadella de Menorca,39.93061,3.8246,Entire home/apt,60,7,17,2019-10-01,0.47,9,334
17966597,Bini Sarch - Binibeca Vell,13024728,Menorca Habitat,,Sant Lluís,39.82432,4.23227,Entire home/apt,115,7,10,2019-09-21,0.29,31,0
17983832,Villa Noixa,49977975,Richard,,Ciutadella de Menorca,39.93118,3.82633,Entire home/apt,88,4,3,2018-08-11,0.09,58,172
17984908,Villa Caty,49977975,Richard,,Ciutadella de Menorca,39.97183,3.83297,Entire home/apt,84,4,0,,,58,121
17985549,Villa Finca Son Roseta,49977975,Richard,,Ciutadella de Menorca,39.98782,3.8621,Entire home/apt,98,4,6,2019-09-09,0.18,58,1
17985982,"Luxury Finca Son Temet -big great pool, peaceful",105711740,3Villas Menorca,,Es Mercadal,39.97676,4.19883,Entire home/apt,1400,5,11,2018-10-01,0.32,97,322
17986306,Tranquila y acogedora Villa Alcaufar,123563909,Elvira,,Sant Lluís,39.82885,4.29372,Entire home/apt,90,7,4,2019-07-25,0.11,1,114
18005215,Piso tranquilo,123754733,Lily,,Ciutadella de Menorca,39.99329,3.84601,Private room,30,1,69,2019-09-13,1.86,1,69
18050157,"Cap d'Artutx, Minorca - Chalet giardino e piscina",25785486,Barbara,,Ciutadella de Menorca,39.92976,3.82331,Entire home/apt,160,7,0,,,3,289
18066498,Villa 11 pers.+Piscina+Bajada playa,124371628,Esperanza,,Ciutadella de Menorca,40.00014,3.79985,Entire home/apt,320,6,4,2019-08-09,0.12,1,92
18082716,Apartment by the Sea in Cap d'Artrutx,124521559,Ana,,Ciutadella de Menorca,39.92365,3.82473,Entire home/apt,100,5,16,2019-09-28,0.43,1,158
18105847,Beach apartment with direct access to the sea,124714392,Marta,,Es Mercadal,40.02326,4.17909,Entire home/apt,65,6,30,2019-10-24,0.87,5,336
18128196,Villa Agora preciosa casa  con encanto Menorquin,124861032,Ruben,,Ciutadella de Menorca,39.9728,3.84074,Entire home/apt,628,1,2,2020-02-02,0.48,1,356
18137837,Seaview Villa in Binibeca,11115307,Ulrike,,Sant Lluís,39.81812,4.2456,Entire home/apt,150,6,17,2019-10-05,0.48,1,30
18172513,Cala Porter Menorca - Siestamar2,125357943,Fernando,,Alaior,39.87222,4.13488,Entire home/apt,100,5,17,2019-09-14,0.52,1,141
18205314,Estudi per a dues persones al centre población,125300166,Ana Maria,,Ciutadella de Menorca,40.00211,3.8417,Private room,50,1,80,2019-09-21,2.21,1,0
18263523,"Private house with pool,  WIFI, Calan Porter",2637214,Maria,,Alaior,39.88189,4.13642,Entire home/apt,95,4,12,2019-09-24,0.35,1,328
18266276,Precioso Ático en Arenal d'en Castell,122183673,Pedro,,Es Mercadal,40.01766,4.18602,Entire home/apt,220,14,0,,,1,179
18269783,Menorca countryside house Villa Manu,126296305,José Manuel,,Es Mercadal,39.9873,4.13152,Entire home/apt,120,4,26,2019-10-14,0.70,1,271
18284804,"2 Bedroom Apartment, Son Bou, San Jamie,Menorca",105815786,Villas,,Alaior,39.90551,4.07097,Entire home/apt,76,1,1,2017-08-21,0.03,7,365
18291407,V14BA | Villa Blanc,123087479,Menorcarentals Villa S.L.,,Alaior,39.90237,4.0721,Entire home/apt,138,3,3,2019-10-18,0.10,17,122
18291428,Apartment with panoramic view Cala Porter,43555435,Mari,,Alaior,39.86878,4.13504,Entire home/apt,72,4,41,2019-09-26,1.19,1,211
18307056,Menorca JANE,101497420,MauterVillas,,Ciutadella de Menorca,40.00393,3.81114,Entire home/apt,95,1,1,2018-08-08,0.05,46,151
18319773,"Duplex by  the sea, beautiful views, big terrace",126723782,Justo,,Es Mercadal,40.02277,4.17867,Entire home/apt,160,2,34,2020-02-03,0.95,1,304
18320136,Apartamento en Arenal d'en Castell,126733053,Maria Celia,,Es Mercadal,40.02125,4.17861,Entire home/apt,45,5,3,2017-09-16,0.09,1,0
18337244,Lovely fisherman`s  house by the sea.,126878878,Gabriel,,Mahón,39.92991,4.27741,Entire home/apt,310,7,8,2019-10-20,0.22,2,297
18341898,MENORCA-SESTANQUES CALA CANUTELLS,63131926,Ina,,Mahón,39.84797,4.17044,Entire home/apt,200,4,4,2019-09-03,0.12,1,324
18357605,Amplio apartamento primera linea de mar,1913268,Familia,,Ciutadella de Menorca,40.00046,3.8304,Entire home/apt,150,3,16,2020-03-01,0.46,6,326
18373877,Xuroi Beach apt 2 bedroom sea view Calan Porter,24271342,Kezban,,Alaior,39.86886,4.13368,Entire home/apt,199,2,40,2019-09-29,1.15,2,344
18415874,Piso Grande y Moderno,98072020,Gerard,,Ciutadella de Menorca,40.00502,3.84559,Entire home/apt,115,3,3,2019-08-27,0.13,1,297
18418326,Casa en Ferreries,127637214,Tomeu,,Ferreries,39.98165,4.00955,Entire home/apt,128,4,11,2019-08-20,0.33,1,146
18425650,Suite Las Vistas,127693279,Menorca,,Alaior,39.90541,4.07556,Entire home/apt,300,2,0,,,1,1
18445470,Casa de campo a 3 km de Mahón,106091091,Lola,,Mahón,39.90979,4.2325,Entire home/apt,400,7,5,2019-08-24,0.15,4,358
18473067,Apartamento con piscina en Complejo Privado,128125509,David,,Ciutadella de Menorca,39.92391,3.82575,Entire home/apt,95,3,58,2019-09-30,1.65,1,174
18485351,"Best location (downtown, beach and marine walk)",1122866,James,,Ciutadella de Menorca,39.99642,3.82968,Entire home/apt,80,3,10,2017-09-08,0.27,1,0
18485385,"Chalet with private garden, barbeque and pool",833149,Silvia,,Ciutadella de Menorca,39.92346,3.82325,Entire home/apt,150,2,13,2019-09-15,0.39,1,310
18499528,Apartamento en primera línea del puerto de Mahón,14634960,Anfitrión,,Es Castell,39.88371,4.28945,Entire home/apt,175,7,2,2017-08-24,0.06,2,0
18516831,Bonito Chalet en Addaia con increíbles vistas,128528544,Laura,,Es Mercadal,40.00783,4.19592,Entire home/apt,65,3,46,2019-09-11,1.33,1,218
18518078,"Maison de rêve, au calme et vue mer",8338704,Suzanne,,Sant Lluís,39.81308,4.26958,Entire home/apt,250,2,32,2019-10-23,0.96,1,279
18519082,3- Gran Villa De Lujo En Binibeca,64324086,Javier,,Sant Lluís,39.82181,4.23293,Entire home/apt,281,7,2,2018-09-08,0.09,11,253
18535039,Apartamento con espectaculares vistas al mar,9498447,Carlos,,Es Mercadal,40.05422,4.1115,Entire home/apt,120,7,6,2019-01-01,0.17,1,306
18536844,Maribel (CBL100),118347326,Maitane - INTER CHALET,,Ciutadella de Menorca,39.97601,3.83882,Entire home/apt,135,1,0,,,4,115
18536850,Villas Begonias (CBO110),118347326,Maitane - INTER CHALET,,Ciutadella de Menorca,39.9313,3.82627,Entire home/apt,135,1,0,,,4,78
18536977,Villas Playas de Fornelle (PYF110),118347326,Maitane - INTER CHALET,,Es Mercadal,40.04701,4.11016,Entire home/apt,109,1,4,2019-10-05,0.17,4,80
18552662,APARTAMENTOS BLUEBEACH MENORCA2,56481250,Apartamentos,,Ciutadella de Menorca,40.00764,3.80726,Entire home/apt,80,4,7,2019-09-12,0.22,12,342
